scientific_name,common_name,species_annotation_codes,Order,eBird_codes
Dicrurus leucophaeus,Ashy Drongo,ASDR,Passeriformes,ashdro1
Muscicapa dauurica,Asian Brown Flycatcher,ABFL,Passeriformes,asbfly
Chalcophaps indica,Asian Emerald Dove,AEDO,Columbiformes,emedov2
Irena puella,Asian Fairy-bluebird,AFBL,Passeriformes,asfblu1
Eudynamys scolopaceus,Asian Koel,ASKO,Cuculiformes,asikoe2
Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,bwfshr1
Ictinaetus malaiensis,Black Eagle,BLEA,Accipitriformes,blaeag1
Milvus migrans,Black Kite,BLKI,Accipitriformes,blakit1
Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,barfly1
Oriolus xanthornus,Black-hooded Oriole,BHOR,Passeriformes,blhori1
Hypothymis azurea,Black-naped Monarch,BNMO,Passeriformes,blnmon1
Dinopium benghalense,Black-rumped Flameback,BRFL,Piciformes,bkrfla1
Lonchura kelaarti,Black-throated Munia,BTMU,Passeriformes,bltmun1
Cyornis rubeculoides,Blue-throated Flycatcher,BTFL,Passeriformes,butfly1
Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,blrwar1
Iduna caligata,Booted Warbler,BOWA,Passeriformes,boowar1
Haliastur indus,Brahminy Kite,BRKI,Accipitriformes,brakit1
Dicrurus aeneus,Bronzed Drongo,BRDR,Passeriformes,brodro1
Ninox scutulata,Brown Boobook,BRBO,Strigiformes,brnhao1
Ketupa zeylonensis,Brown Fish-Owl,BFOW,Strigiformes,brfowl1
Lanius cristatus,Brown Shrike,BRSH,Passeriformes,brnshr
Strix leptogrammica,Brown Wood-owl,BRWO,Strigiformes,brwowl1
Muscicapa muttui,Brown-breasted Flycatcher,BBFL,Passeriformes,brbfly2
Yungipicus nanus,Brown-capped Pygmy Woodpecker,BCPW,Piciformes,bncwoo3
Alcippe poioicephala,Brown-cheeked Fulvetta,BCFU,Passeriformes,brcful1
Merops leschenaulti,Chestnut-headed Bee-eater,CHBE,Coraciiformes,chbeat1
Dinopium javanense,Common Flameback,COFL,Piciformes,comfla1
Hierococcyx varius,Common Hawk-Cuckoo,CHCU,Cuculiformes,cohcuc1
Aegithina tiphia,Common Iora,COIO,Passeriformes,comior1
Carpodacus erythrinus,Common Rosefinch,CORO,Passeriformes,comros
Orthotomus sutorius,Common Tailorbird,COTA,Passeriformes,comtai1
Accipiter trivirgatus,Crested Goshawk,CRGO,Accipitriformes,cregos1
Spilornis cheela,Crested Serpent-Eagle,CSEA,Accipitriformes,crseag1
Leptocoma minima,Crimson-backed Sunbird,CBSU,Passeriformes,crbsun2
Dumetia atriceps,Dark-fronted Babbler,DFBA,Passeriformes,dafbab1
Upupa epops,Eurasian Hoopoe,EUHO,Bucerotiformes,hoopoe
Rubigula gularis,Flame-throated Bulbul,FTBU,Passeriformes,bkcbul1
Dendronanthus indicus,Forest Wagtail,FOWA,Passeriformes,forwag1
Chloropsis aurifrons,Golden-fronted Leafbird,GFLE,Passeriformes,goflea1
Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,grejun2
Motacilla cinerea,Gray Wagtail,GREW,Passeriformes,grywag
Cacomantis passerinus,Gray-bellied Cuckoo,GBCU,Cuculiformes,placuc3
Prinia hodgsonii,Gray-breasted Prinia,GBPR,Passeriformes,gybpri1
Treron affinis,Gray-fronted Green-Pigeon,GFGP,Columbiformes,pomgrp2
Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,GHCF,Passeriformes,gyhcaf1
Lyncornis macrotis,Great-eared Nightjar,GREN,Caprimulgiformes,grenig1
Buceros bicornis,Great Hornbill,GRHO,Bucerotiformes,grehor1
Centropus sinensis,Greater Coucal,GRCO,Cuculiformes,grecou1
Chrysocolaptes guttacristatus,Greater Flameback,GRFL,Piciformes,grefla1
Dicrurus paradiseus,Greater Racket-tailed Drongo,GRTD,Passeriformes,grtdro1
Phylloscopus nitidus,Green Warbler,GRNW,Passeriformes,grnwar1
Phylloscopus trochiloides,Greenish Warbler,GRWA,Passeriformes,grewar3
Hemicircus canente,Heart-spotted Woodpecker,HSWO,Piciformes,heswoo1
Corvus splendens,House Crow,HOCR,Passeriformes,houcro1
Turdus simillimus,Indian Blackbird,INBL,Passeriformes,eurbla2
Larvivora brunnea,Indian Blue Robin,IBRO,Passeriformes,inbrob1
Oriolus kundoo,Indian Golden Oriole,IGOR,Passeriformes,ingori1
Terpsiphone paradisi,Indian Paradise-Flycatcher,IPFL,Passeriformes,aspfly1
Pavo cristatus,Indian Peafowl,INPE,Galliformes,compea
Pitta brachyura,Indian Pitta,INPI,Passeriformes,indpit1
Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,insbab1
Otus bakkamoena,Indian Scops-Owl,ISOW,Strigiformes,insowl1
Zosterops palpebrosus,Indian White-eye,IWEY,Passeriformes,indwhe1
Machlolophus aplonotus,Indian Yellow Tit,IYTI,Passeriformes,indtit1
Argya striata,Jungle Babbler,JUBA,Passeriformes,junbab2
Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,junmyn1
Caprimulgus indicus,Jungle Nightjar,JUNI,Caprimulgiformes,grynig2
Glaucidium radiatum,Jungle Owlet,JUOW,Strigiformes,junowl1
Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,labcro1
Phylloscopus magnirostris,Large-billed Leaf Warbler,LBLW,Passeriformes,lblwar1
Picus chlorolophus,Lesser Yellownape,LEYE,Piciformes,lesyel1
Arachnothera longirostra,Little Spiderhunter,LISP,Passeriformes,litspi1
Lanius schach,Long-tailed Shrike,LTSH,Passeriformes,lotshr1
Psilopogon malabaricus,Malabar Barbet,MABA,Piciformes,crfbar1
Ocyceros griseus,Malabar Gray Hornbill,MGHO,Bucerotiformes,maghor2
Psittacula columboides,Malabar Parakeet,MAPA,Psittaciformes,malpar1
Harpactes fasciatus,Malabar Trogon,MATR,Trogoniformes,maltro1
Myophonus horsfieldii,Malabar Whistling-Thrush,MWTH,Passeriformes,mawthr1
Tephrodornis sylvicola,Malabar Woodshrike,MAWO,Passeriformes,malwoo1
Ducula badia,Mountain Imperial-Pigeon,MIPI,Columbiformes,moipig1
Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,plaflo1
Eumyias albicaudatus,Nilgiri Flycatcher,NIFL,Passeriformes,nilfly2
Columba elphinstonii,Nilgiri Wood-Pigeon,NWPI,Columbiformes,niwpig1
Pericrocotus flammeus,Orange Minivet,ORMI,Passeriformes,scamin3
Geokichla citrina,Orange-headed Thrush,OHTH,Passeriformes,orhthr1
Pernis ptilorhynchus,Oriental Honey-buzzard,OHBU,Accipitriformes,orihob2
Copsychus saularis,Oriental Magpie-Robin,OMRO,Passeriformes,magrob
Dicaeum erythrorhynchos,Pale-billed Flowerpecker,PBFL,Passeriformes,pabflo1
Falco peregrinus,Peregrine Falcon,PEFA,Falconiformes,perfal
Saxicola caprata,Pied Bushchat,PIBU,Passeriformes,piebus1
Clamator jacobinus,Pied Cuckoo,PICU,Cuculiformes,piecuc1
Psittacula cyanocephala,Plum-headed Parakeet,PHPA,Psittaciformes,plhpar1
Pellorneum ruficeps,Puff-throated Babbler,PTBA,Passeriformes,putbab1
Cinnyris asiaticus,Purple Sunbird,PUSU,Passeriformes,pursun4
Galloperdix spadicea,Red Spurfowl,RESP,Galliformes,redspu1
Pycnonotus cafer,Red-vented Bulbul,RVBU,Passeriformes,revbul
Vanellus indicus,Red-wattled Lapwing,RWLA,Charadriiformes,rewlap1
Pycnonotus jocosus,Red-whiskered Bulbul,RWBU,Passeriformes,rewbul
Columba livia,Rock Pigeon,ROPI,Columbiformes,rocpig
Argya subrufa,Rufous Babbler,RUBA,Passeriformes,rufbab3
Micropternus brachyurus,Rufous Woodpecker,RUWO,Piciformes,rufwoo2
Ficedula ruficauda,Rusty-tailed Flycatcher,RTFL,Passeriformes,rutfly6
Accipiter badius,Shikra,SHIK,Accipitriformes,shikra1
Pericrocotus cinnamomeus,Small Minivet,SMMI,Passeriformes,smamin1
Gracula indica,Southern Hill Myna,SHMY,Passeriformes,sohmyn1
Picumnus innominatus,Speckled Piculet,SPPI,Piciformes,spepic1
Ketupa nipalensis,Spot-bellied Eagle-Owl,SBEO,Strigiformes,sbeowl1
Spilopelia chinensis,Spotted Dove,SPDO,Columbiformes,spodov
Hypsipetes ganeesa,Square-tailed Bulbul,STBU,Passeriformes,sqtbul2
Picus xanthopygaeus,Streak-throated Woodpecker,STWO,Piciformes,sttwoo1
Arundinax aedon,Thick-billed Warbler,TBWA,Passeriformes,thbwar1
Cyornis tickelliae,Tickell's Blue Flycatcher,TBFL,Passeriformes,tibfly3
Phylloscopus affinis,Tickell's Leaf Warbler,TLWA,Passeriformes,y00989
Sitta frontalis,Velvet-fronted Nuthatch,VFNU,Passeriformes,vefnut1
Loriculus vernalis,Vernal Hanging-Parrot,VHPA,Psittaciformes,vehpar1
Pterorhinus delesserti,Wayanad Laughingthrush,WALA,Passeriformes,wynlau1
Cyornis pallidipes,White-bellied Blue Flycatcher,WBBF,Passeriformes,wbbfly1
Dendrocitta leucogastra,White-bellied Treepie,WBTR,Passeriformes,whbtre1
Dryocopus javensis,White-bellied Woodpecker,WBWO,Piciformes,whbwoo2
Amaurornis phoenicurus,White-breasted Waterhen,WBWA,Gruiformes,whbwat1
Psilopogon viridis,White-cheeked Barbet,WCBA,Piciformes,whcbar1
Lonchura striata,White-rumped Munia,WRMU,Passeriformes,whrmun
Halcyon smyrnensis,White-throated Kingfisher,WTKI,Coraciiformes,whtkin2
Iole indica,Yellow-browed Bulbul,YBBU,Passeriformes,yebbul3
Chrysomma sinense,Yellow-eyed Babbler,YEBA,Passeriformes,yeebab1
